AccNo,CaMVLMVLTMVIme,Type,PhoneNo,DuMVRatMVIon
SA-0401-55-12,24/11/2012 0:37,MVI,60-01033767355,747
SA-0220-61-46,24/11/2012 22:23,MVI,60-01336549103,963
SA-0021-95-06,21/6/2012 8:00,MVI,60-01499708536,375
SA-0147-43-82,30/11/2012 20:52,MVI,60-01892206556,805
SA-0290-06-89,25/9/2011 18:10,MVI,60-01710406008,915
SA-0182-19-79,15/4/2011 11:52,MVI,60-01380465322,909
SA-0339-42-22,6/10/2011 5:09,MVI,60-01037551318,950
SA-0151-98-79,8/12/2011 4:20,MVI,60-01679837964,159
SA-0227-78-67,24/8/2012 22:22,MVI,60-01338851250,954
SA-0144-10-84,14/12/2011 20:13,MVI,60-01268993790,582
SA-0009-04-02,21/6/2012 9:22,MVI,60-01071294473,864
SA-0021-95-06,1/7/2011 15:30,MVI,60-01655807609,147
SA-0414-86-48,10/4/2012 19:26,MVI,60-01294418774,844
SA-0112-53-34,31/8/2011 8:22,MVI,60-01994698543,225
SA-0305-50-15,13/4/2012 0:49,MVI,60-01218091391,670
SA-0361-84-31,15/8/2012 11:19,MVI,60-01805460037,120
SA-0261-41-34,12/2/2011 11:50,MVI,60-01009740887,272
SA-0147-43-82,6/11/2012 3:52,MVI,60-01711799802,752
SA-0145-41-01,19/9/2012 4:01,MVI,60-01633744722,921
SA-0279-91-74,6/2/2011 1:38,MVI,60-01764596025,336
SA-0187-35-19,10/5/2012 0:49,MVI,60-01296164354,972
SA-0279-91-74,18/6/2011 19:43,MVI,60-01534091366,442
SA-0261-41-34,24/10/2011 6:46,MVI,60-01984896337,346
SA-0112-53-34,9/9/2012 7:28,MVI,60-01438862032,275
SA-0401-55-12,8/9/2012 11:00,MVI,60-01932065182,743
SA-0055-36-68,22/3/2011 6:09,MVI,60-01054718439,142
SA-0401-55-12,6/3/2011 12:15,MVI,60-01410786981,303
SA-0112-53-34,30/4/2012 2:12,MVI,60-01091013072,456
SA-0145-41-01,19/7/2011 7:50,MVI,60-01608162217,325
SA-0182-19-79,29/6/2011 4:45,MVI,60-01135056533,619
SA-0005-14-91,16/3/2012 3:20,MVI,60-01421731613,202
SA-0339-42-22,9/9/2011 22:18,MVI,60-01999598806,797
SA-0220-61-46,14/7/2011 11:48,MVI,60-01918012235,242
SA-0252-71-33,10/2/2011 0:19,MVI,60-01560754114,846
SA-0263-79-37,10/6/2011 4:57,MVI,60-01697288087,772
SA-0222-28-58,18/5/2011 6:17,MVI,60-01814767944,416
SA-0220-48-64,17/9/2012 0:12,MVI,60-01456731965,458
SA-0339-42-22,6/10/2012 21:41,MVI,60-01610859446,299
SA-0227-78-67,1/1/2012 11:51,MVI,60-01988906425,473
SA-0312-94-95,28/12/2011 20:08,MVI,60-01287156898,333
SA-0182-19-79,22/5/2012 21:53,MVI,60-01871230636,718
SA-0055-36-68,1/11/2011 9:39,MVI,60-01218585442,689
SA-0249-45-54,28/11/2011 11:49,MVI,60-01750558432,936
SA-0414-86-48,3/12/2011 23:50,MVI,60-01276387531,989
SA-0185-10-64,18/7/2012 23:07,MVI,60-01052572625,541
SA-0182-19-79,5/9/2012 0:14,MVI,60-01927757832,678
SA-0263-79-37,18/3/2012 11:10,MVI,60-01514102923,282
SA-0063-02-33,30/8/2011 11:47,MVI,60-01577420021,937
SA-0186-07-48,1/7/2012 7:49,MVI,60-01549921345,752
SA-0401-55-12,20/11/2012 18:18,MVI,60-01407884762,996
SA-0220-48-64,28/4/2011 20:19,MVI,60-01163667392,336
SA-0343-60-69,23/1/2011 2:52,MVI,60-01450518912,65
SA-0252-71-33,15/7/2012 14:37,MVI,60-01952136096,630
SA-0401-55-12,11/11/2011 3:45,MVI,60-01471210901,911
SA-0186-07-48,7/2/2011 15:15,MVI,60-01602565018,62
SA-0144-10-84,16/9/2012 11:54,MVI,60-01492539692,648
SA-0187-35-19,21/4/2012 19:08,MVI,60-01120735240,600
SA-0187-35-19,7/5/2011 18:33,MVI,60-01485809565,643
SA-0335-96-08,30/8/2012 3:23,MVI,60-01584160451,433
SA-0155-74-77,16/6/2011 8:14,MVI,60-01206905920,876
SA-0187-35-19,4/11/2011 0:13,MVI,60-01789271302,63
SA-0037-94-05,26/2/2011 3:29,MVI,60-01351363067,77
SA-0339-42-22,10/1/2011 7:52,MVI,60-01724028696,153
SA-0414-20-79,18/8/2012 19:37,MVI,60-01547110102,206
SA-0145-41-01,3/5/2012 7:43,MVI,60-01934575941,358
SA-0378-80-96,1/5/2011 12:34,MVI,60-01295492368,825
SA-0063-02-33,15/11/2012 14:07,MVI,60-01935236663,383
SA-0182-19-79,4/5/2011 14:22,MVI,60-01665035872,839
SA-0303-06-26,29/11/2011 22:08,MVI,60-01038805075,477
SA-0210-42-47,12/7/2012 4:57,MVI,60-01848258828,580
SA-0107-05-98,8/3/2012 21:16,MVI,60-01336219876,914
SA-0133-16-62,19/1/2012 12:25,MVI,60-01632927184,683
SA-0312-94-95,18/12/2011 3:08,MVI,60-01190899836,404
SA-0290-06-89,19/10/2011 11:40,MVI,60-01246045801,725
SA-0186-07-48,6/9/2012 7:58,MVI,60-01343701596,663
SA-0114-12-73,21/1/2011 12:19,MVI,60-01733972715,670
SA-0185-10-64,8/4/2011 12:56,MVI,60-01167435191,222
SA-0133-16-62,24/12/2011 23:05,MVI,60-01993557960,83
SA-0339-42-22,1/8/2011 10:52,MVI,60-01396960675,110
SA-0012-71-76,23/1/2012 18:26,MVI,60-01071377922,979
SA-0187-35-19,6/4/2012 8:26,MVI,60-01703841381,480
SA-0012-71-76,3/1/2011 8:02,MVI,60-01453911021,73
SA-0279-91-74,26/5/2011 17:58,MVI,60-01640995527,217
SA-0401-55-12,24/6/2012 9:49,MVI,60-01138626474,444
SA-0414-86-48,21/8/2012 16:17,MVI,60-01489382220,380
SA-0155-74-77,12/1/2012 8:24,MVI,60-01733242353,813
SA-0080-84-93,9/7/2011 3:35,MVI,60-01431289955,79
SA-0252-71-33,14/11/2011 23:03,MVI,60-01346423084,130
SA-0055-36-68,3/10/2011 15:32,MVI,60-01064635073,424
SA-0033-12-88,9/4/2011 7:10,MVI,60-01421191479,917
SA-0186-07-48,26/8/2011 17:43,MVI,60-01979249176,826
SA-0290-06-89,25/1/2012 15:57,MVI,60-01376719032,415
SA-0263-79-37,27/8/2011 17:47,MVI,60-01084464454,834
SA-0378-80-96,4/11/2012 0:04,MVI,60-01135319659,432
SA-0012-71-76,10/6/2011 12:58,MVI,60-01928149007,712
SA-0187-35-19,22/8/2011 2:14,MVI,60-01057432261,615
SA-0249-45-54,13/3/2011 0:16,MVI,60-01025143667,817
SA-0114-12-73,26/7/2012 8:13,MVI,60-01090500036,617
SA-0182-19-79,2/11/2011 12:27,MVI,60-01162624294,948
SA-0037-94-05,27/4/2012 3:35,MVI,60-01866740404,250
SA-0263-79-37,11/10/2011 0:06,MVI,60-01024105876,498
SA-0155-74-77,24/4/2011 15:48,MVI,60-01094224223,106
SA-0107-05-98,15/4/2011 17:39,MVI,60-01039719666,200
SA-0414-86-48,21/7/2012 13:36,MVI,60-01651670717,92
SA-0222-28-58,17/4/2011 18:12,MVI,60-01426204374,238
SA-0401-55-12,18/1/2012 11:03,MVI,60-01547052999,896
SA-0220-48-64,17/8/2012 23:31,MVI,60-01876507365,458
SA-0186-07-48,27/1/2012 4:47,MVI,60-01029100902,580
SA-0186-07-48,28/12/2012 0:54,MVI,60-01621335156,721
SA-0063-02-33,3/5/2011 4:10,MVI,60-01300052416,366
SA-0186-07-48,9/5/2011 5:53,MVI,60-01349760091,238
SA-0414-20-79,25/9/2012 15:15,MVI,60-01387111349,761
SA-0401-55-12,22/5/2011 5:54,MVI,60-01382281840,461
SA-0314-69-44,13/5/2011 6:36,MVI,60-01532215504,716
SA-0312-94-95,21/5/2012 16:34,MVI,60-01465042206,843
SA-0009-04-02,22/1/2012 19:54,MVI,60-01479475691,518
SA-0312-94-95,23/1/2011 17:05,MVI,60-01238749405,634
SA-0147-43-82,8/5/2012 0:26,MVI,60-01129500881,69
SA-0222-28-58,5/7/2011 3:09,MVI,60-01298452188,275
SA-0092-93-02,22/10/2011 19:20,MVI,60-01030366524,275
SA-0414-86-48,31/8/2012 18:48,MVI,60-01654875672,307
SA-0222-28-58,5/8/2012 20:57,MVI,60-01033364223,822
SA-0005-14-91,24/7/2011 18:40,MVI,60-01086360161,582
SA-0343-60-69,14/1/2012 16:54,MVI,60-01681604953,909
SA-0063-02-33,10/2/2011 5:06,MVI,60-01258357010,686
SA-0021-95-06,11/4/2012 11:10,MVI,60-01968449990,60
SA-0343-60-69,23/10/2012 7:25,MVI,60-01628316406,515
SA-0312-94-95,28/6/2012 18:04,MVI,60-01525141085,125
SA-0378-80-96,17/3/2012 20:26,MVI,60-01746853438,674
SA-0222-28-58,7/5/2012 1:59,MVI,60-01976650182,962
SA-0112-53-34,1/6/2012 1:52,MVI,60-01437007865,692
SA-0012-71-76,8/4/2011 22:39,MVI,60-01319974957,210
SA-0202-82-34,24/9/2012 6:40,MVI,60-01549853152,445
SA-0290-06-89,6/12/2011 14:28,MVI,60-01647966616,76
SA-0033-12-88,15/6/2011 16:37,MVI,60-01723852018,341
SA-0261-41-34,19/5/2011 17:15,MVI,60-01909289635,72
SA-0263-79-37,2/2/2012 15:22,MVI,60-01710394674,120
SA-0263-79-37,23/12/2011 22:28,MVI,60-01790076327,762
SA-0133-16-62,2/10/2012 5:13,MVI,60-01602205388,369
SA-0279-91-74,21/1/2012 20:57,MVI,60-01343671125,915
SA-0009-04-02,13/6/2012 12:15,MVI,60-01997528182,807
SA-0227-78-67,23/8/2011 7:37,MVI,60-01635228659,646
SA-0185-10-64,18/8/2012 11:52,MVI,60-01727518400,332
SA-0009-04-02,14/1/2012 18:00,MVI,60-01626680637,367
SA-0343-60-69,26/3/2012 10:31,MVI,60-01531755966,70
SA-0009-04-02,9/3/2012 6:39,MVI,60-01678184636,117
SA-0252-71-33,24/6/2012 14:49,MVI,60-01396340372,486
SA-0185-10-64,12/12/2011 23:15,MVI,60-01540436915,792
SA-0252-71-33,22/5/2012 13:35,MVI,60-01609552264,130
SA-0220-61-46,5/10/2011 20:35,MVI,60-01175708786,805
SA-0279-91-74,1/4/2012 11:54,MVI,60-01773570354,901
SA-0186-07-48,8/1/2011 9:45,MVI,60-01292137741,390
SA-0279-91-74,24/8/2011 4:13,MVI,60-01610302535,158
SA-0133-16-62,19/11/2011 7:11,MVI,60-01393819714,937
SA-0314-69-44,25/10/2011 4:56,MVI,60-01390386103,392
SA-0185-10-64,13/3/2012 13:56,MVI,60-01400960662,829
SA-0080-84-93,20/12/2012 21:14,MVI,60-01045927339,971
SA-0222-28-58,21/10/2012 2:30,MVI,60-01856522374,739
SA-0312-94-95,30/9/2011 8:22,MVI,60-01041597192,786
SA-0305-50-15,18/7/2012 22:50,MVI,60-01931564934,289
SA-0138-33-52,11/5/2011 7:13,MVI,60-01690987212,761
SA-0263-79-37,21/5/2011 22:29,MVI,60-01804773369,404
SA-0187-35-19,11/4/2011 18:42,MVI,60-01275916979,211
SA-0339-42-22,26/8/2011 21:37,MVI,60-01305647525,549
SA-0185-59-07,10/2/2011 18:31,MVI,60-01759469753,591
SA-0037-94-05,7/10/2012 6:29,MVI,60-01067655911,635
SA-0012-71-76,10/1/2011 2:18,MVI,60-01966034986,455
SA-0033-12-88,19/7/2012 16:48,MVI,60-01986563531,437
SA-0133-16-62,7/5/2012 1:55,MVI,60-01445546755,997
SA-0050-81-89,28/2/2011 23:33,MVI,60-01836089551,87
SA-0290-06-89,8/11/2012 11:42,MVI,60-01636692921,518
SA-0414-86-48,11/2/2012 12:23,MVI,60-01683766602,118
SA-0305-50-15,28/5/2011 21:27,MVI,60-01534465162,647
SA-0037-94-05,17/2/2012 23:18,MVI,60-01732690656,230
SA-0414-86-48,28/11/2011 7:23,MVI,60-01609039165,763
SA-0210-42-47,30/3/2011 19:55,MVI,60-01078244659,989
SA-0063-02-33,25/4/2011 17:06,MVI,60-01967061943,656
SA-0414-86-48,2/7/2011 2:27,MVI,60-01150454070,238
SA-0314-69-44,25/1/2012 22:14,MVI,60-01231503610,142
SA-0033-12-88,18/3/2012 9:26,MVI,60-01010555850,322
SA-0151-98-79,21/8/2011 14:09,MVI,60-01317037017,926
SA-0414-20-79,7/3/2012 0:15,MVI,60-01112667341,145
SA-0114-12-73,27/2/2011 22:18,MVI,60-01525624071,488
SA-0133-16-62,7/11/2011 4:34,MVI,60-01800219370,563
SA-0222-28-58,9/11/2012 5:21,MVI,60-01246181283,145
SA-0343-60-69,2/3/2011 6:55,MVI,60-01127923324,730
SA-0187-35-19,15/8/2011 13:45,MVI,60-01932399469,783
SA-0055-36-68,14/2/2012 0:49,MVI,60-01048253470,270
SA-0314-69-44,1/9/2012 3:55,MVI,60-01395415717,843
SA-0401-55-12,8/7/2012 17:57,MVI,60-01340308456,399
SA-0185-10-64,23/7/2012 6:52,MVI,60-01694533512,264
SA-0112-53-34,9/2/2012 17:34,MVI,60-01970390046,132
SA-0187-35-19,3/6/2011 22:47,MVI,60-01462456385,603
SA-0186-07-48,25/12/2011 4:59,MVI,60-01317133919,130
SA-0290-06-89,17/9/2011 7:19,MVI,60-01452962211,754
SA-0220-48-64,6/7/2011 5:52,MVI,60-01663814022,922
SA-0080-84-93,15/1/2012 13:23,MVI,60-01288254802,155
SA-0133-16-62,9/9/2012 18:01,MVI,60-01563517341,819
SA-0063-02-33,25/11/2012 11:30,MVI,60-01649297953,425
SA-0186-07-48,10/7/2011 15:20,MVI,60-01922937660,335
SA-0037-94-05,20/7/2011 22:56,MVI,60-01863636484,290
SA-0361-84-31,11/1/2012 21:10,MVI,60-01304583458,880
SA-0037-94-05,18/11/2011 3:26,MVI,60-01990630658,435
SA-0290-06-89,11/7/2011 1:01,MVI,60-01101059369,155
SA-0279-91-74,4/9/2012 3:08,MVI,60-01339244848,292
SA-0114-12-73,17/7/2011 6:08,MVI,60-01451240404,567
SA-0227-78-67,3/8/2012 19:23,MVI,60-01904258043,639
SA-0314-69-44,10/2/2012 3:42,MVI,60-01223997209,495
SA-0092-93-02,30/9/2011 16:20,MVI,60-01250429094,506
SA-0147-43-82,27/9/2011 22:41,MVI,60-01347187584,376
SA-0314-69-44,21/9/2011 11:55,MVI,60-01417529053,543
SA-0112-53-34,7/1/2011 15:15,MVI,60-01793746400,360
SA-0050-81-89,28/5/2012 23:34,MVI,60-01589998304,199
SA-0155-74-77,9/9/2012 3:33,MVI,60-01975427008,308
SA-0112-53-34,4/9/2012 14:16,MVI,60-01630007877,589
SA-0414-20-79,2/10/2011 12:27,MVI,60-01629029535,668
SA-0055-36-68,8/10/2012 18:56,MVI,60-01633740184,468
SA-0343-60-69,16/1/2012 6:02,MVI,60-01641723328,737
SA-0249-45-54,20/7/2011 8:04,MVI,60-01934812573,816
SA-0290-06-89,24/1/2012 20:57,MVI,60-01202362471,393
SA-0335-96-08,13/6/2012 21:28,MVI,60-01597568178,445
SA-0210-42-47,26/6/2012 17:18,MVI,60-01710538186,410
SA-0107-05-98,16/2/2012 9:41,MVI,60-01969667849,246
SA-0401-55-12,31/10/2012 7:12,MVI,60-01794592427,91
SA-0138-33-52,23/1/2011 15:26,MVI,60-01847265092,459
SA-0220-48-64,30/5/2012 23:40,MVI,60-01548166464,778
SA-0335-96-08,7/12/2012 15:25,MVI,60-01112879255,319
SA-0252-71-33,9/2/2012 19:38,MVI,60-01758880920,80
SA-0202-82-34,5/4/2012 12:13,MVI,60-01350227864,970
SA-0147-43-82,16/3/2012 12:30,MVI,60-01133871074,964
SA-0210-42-47,14/7/2011 17:46,MVI,60-01843430347,765
SA-0263-79-37,21/7/2011 11:32,MVI,60-01298077411,497
SA-0305-50-15,22/3/2012 3:08,MVI,60-01329503032,682
SA-0037-94-05,17/11/2011 5:28,MVI,60-01199313220,289
SA-0138-33-52,23/3/2011 1:24,MVI,60-01466544872,472
SA-0185-10-64,1/8/2012 23:12,MVI,60-01291515192,109
SA-0210-42-47,5/10/2011 18:08,MVI,60-01205824915,233
SA-0249-45-54,19/9/2012 6:38,MVI,60-01648258721,504
SA-0009-04-02,17/11/2011 8:48,MVI,60-01167891430,312
SA-0063-02-33,5/2/2011 4:23,MVI,60-01924728575,920
SA-0343-60-69,7/10/2012 5:53,MVI,60-01107076259,822
SA-0263-79-37,24/4/2012 10:03,MVI,60-01114492659,521
SA-0144-10-84,16/3/2012 9:15,MVI,60-01162052692,239
SA-0220-48-64,8/5/2011 0:58,MVI,60-01861875923,554
SA-0314-69-44,20/1/2012 21:49,MVI,60-01090706837,330
SA-0145-41-01,20/4/2012 9:46,MVI,60-01806524420,818
SA-0012-71-76,14/8/2012 1:31,MVI,60-01701648715,955
SA-0312-94-95,8/9/2011 11:47,MVI,60-01920318777,286
SA-0202-82-34,16/10/2012 2:47,MVI,60-01832922014,288
SA-0144-10-84,14/10/2012 20:13,MVI,60-01841146081,513
SA-0185-10-64,19/1/2011 0:21,MVI,60-01235491919,364
SA-0335-96-08,13/5/2011 13:15,MVI,60-01019977316,971
SA-0303-06-26,8/10/2011 14:16,MVI,60-01844638156,479
SA-0305-50-15,8/4/2012 21:16,MVI,60-01978587506,657
SA-0312-94-95,6/11/2012 7:55,MVI,60-01588868405,394
SA-0312-94-95,18/12/2012 3:46,MVI,60-01638487939,405
SA-0033-12-88,20/5/2012 11:52,MVI,60-01530978868,940
SA-0361-84-31,13/1/2011 9:15,MVI,60-01219469338,61
SA-0138-33-52,10/2/2011 0:56,MVI,60-01315924024,753
SA-0263-79-37,3/5/2012 12:39,MVI,60-01498844062,245
SA-0133-16-62,29/9/2012 7:43,MVI,60-01529672216,189
SA-0145-41-01,15/6/2012 1:10,MVI,60-01772997666,988
SA-0401-55-12,21/5/2012 7:29,MVI,60-01228975967,399
SA-0187-35-19,24/5/2011 12:42,MVI,60-01347287600,996
SA-0112-53-34,20/10/2011 6:37,MVI,60-01916683415,436
SA-0220-61-46,11/7/2012 11:59,MVI,60-01363807453,811
SA-0314-69-44,10/2/2012 21:44,MVI,60-01123880619,931
SA-0012-71-76,27/9/2012 18:56,MVI,60-01900656805,961
SA-0290-06-89,22/5/2012 14:26,MVI,60-01459872058,921
SA-0314-69-44,12/7/2011 1:09,MVI,60-01530519677,932
SA-0249-45-54,16/5/2011 2:18,MVI,60-01734455492,340
SA-0138-33-52,23/1/2012 6:17,MVI,60-01469519771,773
SA-0144-10-84,29/11/2012 23:03,MVI,60-01740984016,792
SA-0155-74-77,15/10/2011 23:30,MVI,60-01396182370,191
SA-0343-60-69,28/4/2011 14:05,MVI,60-01107921129,903
SA-0107-05-98,16/2/2011 11:21,MVI,60-01587838775,425
SA-0303-06-26,18/7/2011 18:45,MVI,60-01446098617,754
SA-0138-33-52,29/8/2012 10:12,MVI,60-01958709607,952
SA-0055-36-68,11/2/2011 20:44,MVI,60-01406466520,503
SA-0303-06-26,4/10/2011 17:20,MVI,60-01553023396,279
SA-0361-84-31,10/11/2011 19:08,MVI,60-01030074251,893
SA-0138-33-52,4/4/2011 23:55,MVI,60-01969850424,759
SA-0112-53-34,24/10/2011 4:03,MVI,60-01740980616,689
SA-0151-98-79,23/10/2011 9:38,MVI,60-01635012943,109
SA-0080-84-93,1/1/2011 0:18,MVI,60-01161816369,865
SA-0005-14-91,15/8/2011 21:18,MVI,60-01483059948,261
SA-0009-04-02,22/2/2011 12:33,MVI,60-01486222248,944
SA-0033-12-88,14/11/2012 13:22,MVI,60-01650624064,423
SA-0145-41-01,19/4/2012 11:34,MVI,60-01608916075,349
SA-0021-95-06,22/2/2012 4:01,MVI,60-01289572422,135
SA-0080-84-93,18/1/2011 14:27,MVI,60-01500267513,285
SA-0009-04-02,5/2/2011 17:24,MVI,60-01810449650,370
SA-0005-14-91,31/1/2012 11:25,MVI,60-01171527951,575
SA-0186-07-48,28/10/2012 15:59,MVI,60-01119736242,500
SA-0252-71-33,5/6/2012 0:12,MVI,60-01510001312,864
SA-0050-81-89,27/8/2012 4:54,MVI,60-01469388488,817
SA-0155-74-77,26/3/2011 12:22,MVI,60-01135999937,928
SA-0414-20-79,10/9/2011 14:34,MVI,60-01034555997,974
SA-0222-28-58,21/10/2011 4:03,MVI,60-01682342999,341
SA-0378-80-96,21/11/2011 20:14,MVI,60-01944736313,376
SA-0220-61-46,10/7/2011 12:45,MVI,60-01579964009,519
SA-0033-12-88,18/4/2011 18:26,MVI,60-01603633187,717
SA-0414-86-48,28/7/2012 9:13,MVI,60-01971150164,974
SA-0107-05-98,22/2/2011 8:49,MVI,60-01088173103,677
SA-0263-79-37,11/10/2012 4:01,MVI,60-01355691904,672
SA-0290-06-89,9/11/2012 3:21,MVI,60-01172490004,196
SA-0187-35-19,25/10/2011 13:38,MVI,60-01883318999,499
SA-0033-12-88,8/6/2012 14:50,MVI,60-01953064133,518
SA-0263-79-37,22/10/2011 21:42,MVI,60-01071341431,908
SA-0063-02-33,23/6/2011 18:13,MVI,60-01177352925,952
SA-0335-96-08,20/9/2011 0:04,MVI,60-01698174894,460
SA-0037-94-05,17/9/2012 18:37,MVI,60-01567470227,833
SA-0202-82-34,30/4/2011 17:00,MVI,60-01488410861,306
SA-0005-14-91,1/9/2012 4:15,MVI,60-01510432401,622
SA-0249-45-54,10/8/2011 9:37,MVI,60-01366885822,993
SA-0210-42-47,28/10/2011 17:18,MVI,60-01256175571,72
SA-0182-19-79,29/3/2012 14:32,MVI,60-01226560671,712
SA-0182-19-79,13/4/2011 17:16,MVI,60-01971693483,210
SA-0107-05-98,2/3/2011 19:21,MVI,60-01635280598,909
SA-0220-61-46,22/6/2012 22:17,MVI,60-01527563176,850
SA-0005-14-91,26/6/2012 2:24,MVI,60-01065590081,477
SA-0186-07-48,7/3/2012 19:17,MVI,60-01236456138,497
SA-0050-81-89,20/12/2011 23:43,MVI,60-01082883511,982
SA-0080-84-93,10/6/2011 18:09,MVI,60-01165957320,818
SA-0133-16-62,16/4/2011 0:17,MVI,60-01715096490,570
SA-0279-91-74,10/4/2012 11:48,MVI,60-01888983283,983
SA-0290-06-89,3/4/2012 0:25,MVI,60-01156591087,657
SA-0343-60-69,1/2/2012 17:46,MVI,60-01618360642,512
SA-0182-19-79,2/4/2011 3:14,MVI,60-01582443583,446
SA-0220-61-46,30/4/2012 14:26,MVI,60-01317901847,431
SA-0021-95-06,23/5/2011 13:46,MVI,60-01385950128,286
SA-0210-42-47,9/6/2012 22:52,MVI,60-01821321301,782
SA-0303-06-26,18/1/2011 23:04,MVI,60-01665940773,111
SA-0037-94-05,17/3/2011 18:49,MVI,60-01282312833,554
SA-0378-80-96,2/4/2011 20:34,MVI,60-01784314358,325
SA-0055-36-68,9/6/2011 14:01,MVI,60-01984370124,125
SA-0145-41-01,19/5/2011 8:20,MVI,60-01194900109,483
SA-0080-84-93,18/6/2012 5:13,MVI,60-01460555392,285
SA-0252-71-33,24/11/2012 17:45,MVI,60-01826969609,735
SA-0249-45-54,7/11/2012 14:58,MVI,60-01283754360,687
SA-0186-07-48,20/9/2011 7:47,MVI,60-01238531993,772
SA-0312-94-95,15/7/2011 2:55,MVI,60-01168406133,964
SA-0182-19-79,22/7/2011 0:08,MVI,60-01422268480,835
SA-0144-10-84,17/11/2011 16:08,MVI,60-01480253194,807
SA-0144-10-84,21/8/2011 10:10,MVI,60-01498584628,922
SA-0185-10-64,26/9/2011 1:05,MVI,60-01375421791,464
SA-0210-42-47,26/5/2011 13:33,MVI,60-01068541107,950
SA-0378-80-96,9/12/2012 6:33,MVI,60-01051041664,471
SA-0055-36-68,30/4/2012 20:28,MVI,60-01310953785,700
SA-0080-84-93,26/3/2012 10:56,MVI,60-01807391571,424
SA-0290-06-89,2/9/2012 5:18,MVI,60-01649500693,646
SA-0305-50-15,3/1/2011 11:40,MVI,60-01662008682,895
SA-0279-91-74,14/3/2012 18:19,MVI,60-01631689728,880
SA-0114-12-73,28/6/2012 17:41,MVI,60-01899697968,585
SA-0339-42-22,3/1/2011 19:24,MVI,60-01240232010,419
SA-0138-33-52,5/6/2011 11:17,MVI,60-01347152883,627
SA-0401-55-12,3/5/2011 20:20,MVI,60-01027696973,305
SA-0263-79-37,24/3/2012 16:16,MVI,60-01319557867,488
SA-0112-53-34,20/9/2011 8:02,MVI,60-01897502910,252
SA-0114-12-73,21/5/2012 15:56,MVI,60-01606989350,363
SA-0107-05-98,8/9/2011 1:00,MVI,60-01992734353,673
SA-0290-06-89,13/12/2012 1:46,MVI,60-01643479568,906
SA-0107-05-98,27/5/2012 9:04,MVI,60-01271215896,895
SA-0414-86-48,12/9/2012 22:58,MVI,60-01608394476,916
SA-0378-80-96,9/12/2012 13:29,MVI,60-01466301902,629
SA-0343-60-69,30/3/2011 8:44,MVI,60-01964426828,595
SA-0037-94-05,17/2/2011 6:51,MVI,60-01250363156,420
SA-0202-82-34,4/4/2012 23:09,MVI,60-01966276018,649
SA-0261-41-34,31/3/2011 3:52,MVI,60-01861638726,158
SA-0210-42-47,25/6/2011 8:25,MVI,60-01155405227,757
SA-0151-98-79,11/12/2011 21:50,MVI,60-01633160980,569
SA-0220-48-64,17/1/2011 19:07,MVI,60-01604281653,933
SA-0147-43-82,16/7/2012 19:05,MVI,60-01501850946,322
SA-0145-41-01,18/12/2011 7:53,MVI,60-01102962557,812
SA-0021-95-06,23/2/2011 2:39,MVI,60-01487354106,961
SA-0314-69-44,8/9/2012 11:26,MVI,60-01541104192,594
SA-0182-19-79,10/10/2011 4:35,MVI,60-01797294101,420
SA-0339-42-22,2/2/2011 21:43,MVI,60-01128606767,245
SA-0185-59-07,7/5/2012 5:44,MVI,60-01575146034,703
SA-0202-82-34,7/10/2012 19:57,MVI,60-01425264065,140
SA-0249-45-54,4/7/2011 18:52,MVI,60-01781714925,227
SA-0155-74-77,14/5/2011 10:23,MVI,60-01462308355,667
SA-0249-45-54,29/8/2012 7:27,MVI,60-01128598843,777
SA-0222-28-58,12/12/2012 2:33,MVI,60-01004558028,83
SA-0343-60-69,13/6/2011 6:27,MVI,60-01715545130,479
SA-0414-86-48,21/4/2012 14:55,MVI,60-01762675361,335
SA-0222-28-58,14/3/2012 12:45,MVI,60-01940467282,546
SA-0055-36-68,14/6/2012 15:46,MVI,60-01938415658,900
SA-0107-05-98,15/1/2012 6:29,MVI,60-01949217278,498
SA-0033-12-88,15/12/2012 11:36,MVI,60-01735222215,829
SA-0144-10-84,31/5/2011 3:51,MVI,60-01544495417,695
SA-0155-74-77,22/2/2012 19:10,MVI,60-01031580318,533
SA-0005-14-91,21/4/2012 10:45,MVI,60-01946681059,598
SA-0303-06-26,25/5/2011 17:17,MVI,60-01981851380,761
SA-0182-19-79,8/6/2011 12:32,MVI,60-01300485828,237
SA-0012-71-76,19/6/2012 0:44,MVI,60-01518706795,72
SA-0182-19-79,3/5/2012 12:35,MVI,60-01389480870,405
SA-0151-98-79,25/5/2011 19:52,MVI,60-01369068677,997
SA-0185-10-64,5/6/2011 9:24,MVI,60-01612378450,364
SA-0361-84-31,12/4/2011 9:41,MVI,60-01990481154,75
SA-0220-61-46,7/3/2012 3:01,MVI,60-01035115219,116
SA-0378-80-96,10/1/2011 8:34,MVI,60-01038169679,869
SA-0290-06-89,22/12/2012 12:35,MVI,60-01656933108,337
SA-0339-42-22,9/1/2011 20:29,MVI,60-01827048692,990
SA-0080-84-93,21/12/2011 12:03,MVI,60-01938399051,684
SA-0290-06-89,12/10/2012 23:01,MVI,60-01934436326,799
SA-0220-61-46,23/8/2011 16:51,MVI,60-01385225045,745
SA-0202-82-34,11/6/2011 14:57,MVI,60-01904279800,169
SA-0202-82-34,7/8/2011 20:48,MVI,60-01016643875,78
SA-0343-60-69,3/5/2011 0:19,MVI,60-01687054248,344
