AccNo,CallTime,Type,PhoneNo,During_in_secs
SA-0202-82-34,17/8/2011 22:39,I,60-153632873,484
SA-0210-42-47,6/7/2012 17:49,I,60-110492241,94
SA-0220-61-46,2/5/2012 16:22,I,60-130614866,1033
SA-0263-79-37,28/6/2012 23:15,I,60-128439997,2959
SA-0401-55-12,5/11/2012 14:38,I,60-117403357,1665
SA-0401-55-12,5/5/2011 2:39,I,60-141108563,1577
SA-0220-48-64,9/2/2011 6:23,I,60-103960297,2514
SA-0033-12-88,20/6/2012 13:17,I,60-139685451,2146
SA-0151-98-79,30/9/2011 2:41,I,60-175090548,741
SA-0133-16-62,11/5/2012 15:13,I,60-114634813,1962
SA-0187-35-19,14/2/2012 20:49,I,60-139291877,3358
SA-0249-45-54,5/5/2012 0:16,I,60-141968566,404
SA-0252-71-33,19/11/2011 9:21,I,60-128699217,2694
SA-0133-16-62,16/3/2011 9:26,I,60-172113958,1609
SA-0037-94-05,20/4/2011 4:08,I,60-113491207,3578
SA-0033-12-88,9/5/2011 8:25,I,60-168576455,1633
SA-0378-80-96,11/1/2011 8:54,I,60-189480840,2120
SA-0005-14-91,6/9/2011 9:35,I,60-125253643,590
SA-0145-41-01,5/7/2012 18:10,I,60-184344991,3005
SA-0210-42-47,30/8/2011 9:36,I,60-118527038,161
SA-0055-36-68,9/6/2011 18:52,I,60-107838974,2119
SA-0335-96-08,19/6/2012 15:41,I,60-109835899,729
SA-0145-41-01,17/12/2012 3:48,I,60-141072863,1259
SA-0261-41-34,13/1/2012 12:15,I,60-156605464,3260
SA-0145-41-01,27/3/2012 21:29,I,60-182304135,2097
SA-0112-53-34,29/5/2011 16:34,I,60-123118327,1379
SA-0361-84-31,4/9/2011 17:15,I,60-148504438,615
SA-0055-36-68,27/8/2012 11:32,I,60-141394460,1875
SA-0339-42-22,17/11/2011 14:18,I,60-199109209,2295
SA-0147-43-82,1/11/2011 3:07,I,60-189022737,1659
SA-0182-19-79,14/9/2011 2:00,I,60-116181250,3073
SA-0339-42-22,6/3/2011 10:08,I,60-125419966,564
SA-0314-69-44,16/6/2012 17:08,I,60-163519263,1202
SA-0055-36-68,8/10/2011 5:41,I,60-160259639,243
SA-0378-80-96,5/6/2011 22:12,I,60-130071143,183
SA-0339-42-22,9/1/2012 18:02,I,60-162300957,3009
SA-0005-14-91,17/1/2012 6:34,I,60-119151294,1727
SA-0210-42-47,2/3/2011 22:23,I,60-191163768,1077
SA-0305-50-15,3/8/2011 9:32,I,60-110707688,481
SA-0187-35-19,23/8/2012 18:20,I,60-199282877,2780
SA-0151-98-79,25/8/2012 4:21,I,60-124166170,1620
SA-0005-14-91,27/4/2011 14:06,I,60-115638473,3140
SA-0187-35-19,8/8/2012 8:45,I,60-119747075,1080
SA-0037-94-05,28/10/2012 15:42,I,60-101230681,2738
SA-0185-59-07,28/5/2011 14:51,I,60-193966667,2609
SA-0112-53-34,21/9/2012 18:23,I,60-179297924,1371
SA-0080-84-93,10/11/2011 6:57,I,60-138855300,3269
SA-0210-42-47,3/5/2012 11:47,I,60-113663936,1089
SA-0055-36-68,4/1/2011 1:59,I,60-172456417,2765
SA-0210-42-47,12/10/2011 13:09,I,60-116868156,2337
SA-0378-80-96,23/11/2011 8:46,I,60-121785001,3236
SA-0021-95-06,6/3/2011 4:39,I,60-141225902,1948
SA-0138-33-52,9/2/2012 13:17,I,60-145881446,114
SA-0037-94-05,14/1/2011 19:24,I,60-155167167,3555
SA-0080-84-93,30/11/2012 7:00,I,60-191947717,2840
SA-0050-81-89,6/12/2012 7:24,I,60-130947197,3420
SA-0092-93-02,25/2/2011 17:26,I,60-124523156,538
SA-0339-42-22,6/12/2011 16:18,I,60-120955672,3240
SA-0249-45-54,3/2/2011 1:07,I,60-137244722,1982
SA-0343-60-69,1/4/2011 21:22,I,60-180701757,138
SA-0343-60-69,26/12/2011 6:12,I,60-137258006,2407
SA-0144-10-84,4/12/2011 6:10,I,60-199677885,1848
SA-0252-71-33,31/3/2012 7:04,I,60-176534488,937
SA-0361-84-31,10/5/2011 10:50,I,60-151009788,2706
SA-0361-84-31,24/3/2012 17:42,I,60-133406787,2446
SA-0114-12-73,1/11/2011 20:18,I,60-131283026,2316
SA-0112-53-34,12/5/2011 3:32,I,60-151770640,2927
SA-0202-82-34,24/9/2011 10:23,I,60-199366668,1531
SA-0305-50-15,29/2/2012 13:22,I,60-115345434,3579
SA-0314-69-44,7/6/2012 23:39,I,60-112819624,2251
SA-0305-50-15,3/6/2011 6:16,I,60-152176581,1545
SA-0012-71-76,17/12/2011 8:29,I,60-113705796,3577
SA-0222-28-58,20/4/2011 15:48,I,60-173310082,648
SA-0155-74-77,14/11/2012 0:30,I,60-196090910,2311
SA-0055-36-68,26/12/2012 9:59,I,60-177763405,1869
SA-0401-55-12,7/3/2012 2:17,I,60-110008483,2672
SA-0312-94-95,6/5/2011 17:36,I,60-161928362,2446
SA-0249-45-54,17/3/2011 9:24,I,60-136849286,2666
SA-0187-35-19,3/7/2011 2:37,I,60-179237128,3240
SA-0185-59-07,3/7/2011 5:28,I,60-138224980,2044
SA-0186-07-48,10/1/2012 20:03,I,60-167518921,1840
SA-0305-50-15,18/12/2012 1:43,I,60-195611115,2759
SA-0339-42-22,5/2/2011 19:39,I,60-109276658,770
SA-0249-45-54,30/3/2011 11:17,I,60-100552401,3434
SA-0114-12-73,24/7/2012 7:40,I,60-125837694,186
SA-0305-50-15,4/6/2011 19:54,I,60-187932502,1742
SA-0339-42-22,16/2/2011 17:10,I,60-183769637,1597
SA-0335-96-08,3/8/2012 18:38,I,60-192611558,1980
SA-0185-10-64,11/3/2012 19:34,I,60-143766800,2669
SA-0151-98-79,4/11/2012 21:44,I,60-174024130,2203
SA-0185-10-64,27/2/2011 13:55,I,60-199269018,3593
SA-0303-06-26,3/12/2011 3:14,I,60-164426366,2789
SA-0092-93-02,22/7/2011 15:04,I,60-103838632,1828
SA-0012-71-76,14/1/2012 19:22,I,60-118730972,309
SA-0012-71-76,26/12/2012 4:44,I,60-189065821,1803
SA-0182-19-79,15/6/2012 1:25,I,60-114128217,1572
SA-0080-84-93,10/4/2011 17:34,I,60-136896288,1119
SA-0009-04-02,24/4/2012 11:57,I,60-159824924,532
SA-0414-20-79,10/6/2011 20:50,I,60-152025622,1505
SA-0312-94-95,5/7/2012 11:53,I,60-142827000,3211
SA-0112-53-34,16/4/2011 21:33,I,60-120304382,1962
SA-0009-04-02,26/6/2011 22:37,I,60-163898131,1319
SA-0133-16-62,10/5/2011 4:06,I,60-190653782,2726
SA-0335-96-08,6/9/2012 14:18,I,60-100617997,1422
SA-0220-48-64,14/6/2011 22:32,I,60-117485497,1531
SA-0401-55-12,2/9/2012 1:36,I,60-181126707,2334
SA-0290-06-89,17/9/2012 9:04,I,60-188696740,922
SA-0138-33-52,17/8/2011 12:30,I,60-177710601,2476
SA-0303-06-26,19/10/2012 8:17,I,60-152017013,1584
SA-0012-71-76,14/6/2012 2:25,I,60-104571039,1728
SA-0279-91-74,15/3/2012 2:44,I,60-183247047,2623
SA-0414-86-48,30/3/2012 23:19,I,60-142659667,2808
SA-0249-45-54,26/11/2012 22:15,I,60-110485282,1060
SA-0138-33-52,31/3/2011 14:46,I,60-119580081,485
SA-0220-48-64,21/12/2011 11:20,I,60-157279082,995
SA-0185-59-07,22/4/2011 23:53,I,60-192252985,1586
SA-0145-41-01,16/7/2011 4:23,I,60-181188827,1413
SA-0009-04-02,5/9/2012 14:03,I,60-150175896,200
SA-0305-50-15,8/12/2012 7:55,I,60-168572132,1515
SA-0305-50-15,1/1/2012 11:38,I,60-126852618,133
SA-0114-12-73,26/8/2012 20:14,I,60-182566912,2384
SA-0012-71-76,1/11/2012 13:18,I,60-181233158,2925
SA-0144-10-84,9/1/2011 13:25,I,60-163861583,1579
SA-0312-94-95,24/1/2012 2:26,I,60-121084850,2225
SA-0187-35-19,3/4/2012 20:31,I,60-199112341,3188
SA-0210-42-47,27/1/2012 18:29,I,60-120383656,3412
SA-0033-12-88,15/5/2011 11:25,I,60-192700411,2027
SA-0112-53-34,28/2/2011 17:05,I,60-176909588,71
SA-0092-93-02,20/6/2011 5:00,I,60-191163602,2684
SA-0252-71-33,15/10/2011 4:38,I,60-178813843,2801
SA-0279-91-74,31/1/2012 8:18,I,60-177821154,682
SA-0279-91-74,13/1/2011 2:28,I,60-177959521,1057
SA-0202-82-34,16/10/2012 7:57,I,60-105401198,1528
SA-0252-71-33,3/10/2011 4:43,I,60-145562917,2940
SA-0114-12-73,29/5/2012 3:42,I,60-151792302,2759
SA-0335-96-08,9/2/2012 1:22,I,60-120478428,271
SA-0210-42-47,10/5/2011 18:15,I,60-143596355,2724
SA-0335-96-08,14/12/2012 23:57,I,60-196512821,2614
SA-0114-12-73,9/3/2012 10:03,I,60-179154989,2010
SA-0009-04-02,14/5/2012 21:22,I,60-141257461,479
SA-0021-95-06,23/4/2012 13:07,I,60-166083051,3345
SA-0186-07-48,9/3/2011 17:20,I,60-175783426,621
SA-0114-12-73,16/12/2012 12:40,I,60-161762414,1683
SA-0263-79-37,8/7/2012 7:06,I,60-101380404,491
SA-0401-55-12,26/3/2011 4:58,I,60-185087147,3463
SA-0305-50-15,5/2/2012 11:12,I,60-114218615,2224
SA-0339-42-22,22/5/2012 1:16,I,60-169582999,296
SA-0261-41-34,1/7/2012 7:37,I,60-191419300,172
SA-0107-05-98,29/5/2012 19:56,I,60-156041730,2486
SA-0055-36-68,4/7/2012 18:20,I,60-177439618,1929
SA-0202-82-34,12/4/2011 10:23,I,60-178708912,3476
SA-0005-14-91,22/2/2011 22:19,I,60-122521643,160
SA-0222-28-58,7/2/2011 17:33,I,60-140895681,2898
SA-0009-04-02,1/8/2011 7:56,I,60-171667828,839
SA-0138-33-52,25/4/2011 14:53,I,60-117728850,2884
SA-0335-96-08,9/3/2012 23:34,I,60-194768840,1652
SA-0312-94-95,19/1/2012 20:44,I,60-158651162,319
SA-0144-10-84,5/7/2012 4:11,I,60-119090271,3451
SA-0114-12-73,23/2/2012 10:34,I,60-135340713,1016
SA-0138-33-52,21/3/2011 16:08,I,60-134845356,1906
SA-0185-10-64,1/1/2011 7:00,I,60-118787855,495
SA-0009-04-02,20/3/2011 18:55,I,60-105860887,3565
SA-0339-42-22,11/5/2011 14:18,I,60-187255464,3508
SA-0361-84-31,6/8/2011 22:52,I,60-127706713,3144
SA-0133-16-62,26/9/2012 6:59,I,60-170185802,303
SA-0037-94-05,5/11/2011 20:29,I,60-134376123,1006
SA-0339-42-22,10/6/2012 4:22,I,60-137152048,3164
SA-0151-98-79,28/12/2012 9:14,I,60-186237759,2021
SA-0005-14-91,9/7/2012 19:27,I,60-111748583,214
SA-0187-35-19,7/2/2011 10:21,I,60-129742161,654
SA-0252-71-33,15/4/2011 0:08,I,60-138573778,3077
SA-0202-82-34,30/4/2011 19:58,I,60-153978945,855
SA-0252-71-33,17/4/2011 19:14,I,60-144778289,2533
SA-0220-61-46,1/6/2012 8:01,I,60-193379576,2945
SA-0009-04-02,6/6/2011 14:00,I,60-177213079,2249
SA-0222-28-58,3/2/2011 12:33,I,60-183051846,2409
SA-0378-80-96,30/9/2011 1:49,I,60-100000041,1764
SA-0202-82-34,12/8/2011 3:47,I,60-118253262,225
SA-0114-12-73,2/2/2012 11:43,I,60-117089862,854
SA-0185-59-07,1/7/2012 0:43,I,60-189386025,1418
SA-0138-33-52,4/1/2011 7:40,I,60-143213806,1425
SA-0112-53-34,28/6/2012 11:12,I,60-189183809,80
SA-0114-12-73,13/7/2012 13:17,I,60-123801787,3370
SA-0050-81-89,19/12/2011 11:21,I,60-180697953,674
SA-0361-84-31,9/8/2011 13:08,I,60-116680850,2542
SA-0361-84-31,11/8/2012 13:53,I,60-111128432,67
SA-0312-94-95,1/5/2012 20:18,I,60-155737728,2045
SA-0182-19-79,1/10/2011 4:52,I,60-115696187,2794
SA-0063-02-33,30/8/2012 15:38,I,60-194379823,598
SA-0050-81-89,16/7/2011 17:50,I,60-104139057,899
SA-0055-36-68,11/9/2012 11:02,I,60-183510132,2869
SA-0220-61-46,12/4/2011 22:23,I,60-114283036,187
SA-0005-14-91,4/7/2011 9:25,I,60-158544348,1120
SA-0012-71-76,9/9/2012 17:50,I,60-121450502,2377
SA-0021-95-06,21/2/2012 0:51,I,60-164014094,481
SA-0252-71-33,3/5/2012 23:26,I,60-111615231,3071
SA-0339-42-22,10/7/2012 16:57,I,60-133479682,1049
SA-0414-20-79,1/10/2011 1:16,I,60-178911752,1643
SA-0263-79-37,22/5/2012 1:10,I,60-193379411,387
SA-0012-71-76,12/5/2012 19:50,I,60-115602321,1463
SA-0080-84-93,23/2/2012 16:52,I,60-142507184,2680
SA-0147-43-82,12/11/2011 23:11,I,60-180097374,788
SA-0133-16-62,11/2/2011 0:01,I,60-149871052,3308
SA-0378-80-96,10/4/2012 4:26,I,60-155544842,2528
SA-0187-35-19,12/8/2012 13:09,I,60-150425473,266
SA-0343-60-69,2/7/2011 2:11,I,60-155213282,1713
SA-0249-45-54,2/12/2012 22:33,I,60-146048486,1271
SA-0263-79-37,24/11/2012 7:20,I,60-109788333,2587
SA-0187-35-19,23/8/2012 17:17,I,60-199289697,3287
SA-0414-20-79,17/3/2011 0:25,I,60-180242715,1445
SA-0414-86-48,26/8/2011 7:21,I,60-124809489,3215
SA-0112-53-34,27/11/2012 19:17,I,60-130060316,2865
SA-0303-06-26,22/12/2012 12:29,I,60-152647481,1980
SA-0012-71-76,21/9/2012 16:20,I,60-154173756,2674
SA-0312-94-95,20/7/2012 1:17,I,60-155079361,3311
SA-0147-43-82,27/1/2012 23:36,I,60-154271339,3000
SA-0021-95-06,9/5/2012 18:25,I,60-182727944,1511
SA-0202-82-34,21/10/2011 23:47,I,60-146358615,3445
SA-0009-04-02,23/11/2011 14:22,I,60-115368212,2953
SA-0252-71-33,9/12/2011 4:13,I,60-116513342,3541
SA-0202-82-34,23/6/2011 10:25,I,60-167825076,474
SA-0303-06-26,31/8/2011 14:43,I,60-111973017,1933
SA-0222-28-58,6/10/2011 7:39,I,60-122699422,2728
SA-0145-41-01,9/4/2012 14:22,I,60-135446550,1692
SA-0339-42-22,4/7/2012 20:24,I,60-174954401,1111
SA-0343-60-69,6/2/2011 16:16,I,60-158820004,607
SA-0401-55-12,8/7/2011 15:20,I,60-140704110,2258
SA-0303-06-26,28/11/2012 11:21,I,60-171946202,1201
SA-0063-02-33,1/2/2012 15:42,I,60-118947535,2007
SA-0112-53-34,10/10/2011 21:25,I,60-108307740,2478
SA-0005-14-91,22/4/2012 19:00,I,60-195886129,3037
SA-0261-41-34,22/5/2011 4:35,I,60-121026961,2408
SA-0012-71-76,21/4/2011 7:10,I,60-155704681,1045
SA-0133-16-62,18/6/2011 7:01,I,60-197485539,3266
SA-0186-07-48,19/9/2012 7:49,I,60-184913663,3140
SA-0261-41-34,24/12/2012 13:50,I,60-123920566,2446
SA-0185-10-64,26/7/2011 17:13,I,60-143677742,788
SA-0185-10-64,5/12/2011 20:05,I,60-121410594,163
SA-0261-41-34,26/1/2012 2:21,I,60-121319869,3525
SA-0186-07-48,25/4/2011 13:56,I,60-149427179,1591
SA-0033-12-88,9/5/2011 22:56,I,60-113444034,1128
SA-0312-94-95,20/12/2011 4:34,I,60-111010176,2971
SA-0182-19-79,19/6/2012 12:13,I,60-147274859,1406
SA-0033-12-88,7/6/2012 20:38,I,60-141978281,3529
SA-0303-06-26,5/1/2012 11:27,I,60-102336752,2194
SA-0012-71-76,25/7/2012 9:53,I,60-143531723,2751
SA-0155-74-77,4/8/2011 3:29,I,60-154758351,1492
SA-0335-96-08,22/9/2012 4:17,I,60-143391133,3190
SA-0343-60-69,2/5/2012 19:57,I,60-194849684,3524
SA-0220-61-46,4/12/2011 8:26,I,60-126949830,2767
SA-0185-59-07,12/5/2012 21:30,I,60-185868499,3130
SA-0037-94-05,11/6/2012 13:48,I,60-129277549,1782
SA-0314-69-44,11/4/2011 23:57,I,60-104265404,1890
SA-0185-10-64,11/3/2011 14:47,I,60-171219686,2850
SA-0155-74-77,26/11/2011 10:42,I,60-113608891,1223
SA-0220-61-46,23/10/2011 21:35,I,60-151756546,2292
SA-0185-10-64,11/11/2011 9:35,I,60-108174229,839
SA-0222-28-58,22/12/2012 20:12,I,60-130633777,1841
SA-0114-12-73,12/4/2012 15:39,I,60-130556688,1553
SA-0185-10-64,25/4/2011 20:19,I,60-191942690,270
SA-0185-59-07,16/6/2012 8:32,I,60-180011342,495
SA-0080-84-93,2/3/2012 8:50,I,60-114157756,377
SA-0133-16-62,5/3/2012 15:08,I,60-100348269,2212
SA-0187-35-19,24/9/2011 8:23,I,60-152817937,577
SA-0063-02-33,15/10/2011 5:02,I,60-191575361,3230
SA-0222-28-58,27/12/2012 5:55,I,60-161445137,3374
SA-0343-60-69,12/10/2011 12:08,I,60-156378515,2301
SA-0151-98-79,3/3/2012 7:44,I,60-197351514,2098
SA-0080-84-93,26/10/2011 9:13,I,60-102232350,392
SA-0361-84-31,2/6/2011 15:00,I,60-160647545,2543
SA-0210-42-47,20/6/2011 18:00,I,60-149825341,2625
SA-0009-04-02,22/3/2012 15:46,I,60-129380548,288
SA-0063-02-33,27/3/2011 13:04,I,60-139992102,3116
SA-0187-35-19,12/1/2012 0:39,I,60-175807072,1215
SA-0339-42-22,6/10/2012 20:57,I,60-193847324,2475
SA-0147-43-82,15/7/2012 7:27,I,60-194624149,2212
SA-0037-94-05,13/7/2011 21:17,I,60-194627136,857
SA-0227-78-67,5/4/2012 8:54,I,60-185315396,799
SA-0279-91-74,1/8/2012 16:24,I,60-132245348,2384
SA-0155-74-77,12/6/2011 23:09,I,60-100623110,725
SA-0063-02-33,5/4/2012 15:41,I,60-120728539,2038
SA-0021-95-06,7/9/2012 6:17,I,60-147893101,3464
SA-0037-94-05,24/5/2011 0:45,I,60-136128415,134
SA-0147-43-82,31/7/2012 5:46,I,60-186387538,3399
SA-0185-10-64,13/10/2012 23:42,I,60-108108100,333
SA-0133-16-62,3/4/2012 1:12,I,60-170905736,2772
SA-0005-14-91,31/1/2011 23:43,I,60-128801699,2569
SA-0343-60-69,27/9/2011 5:19,I,60-118809209,460
SA-0414-86-48,1/9/2012 0:16,I,60-180756804,3488
SA-0009-04-02,31/5/2012 22:30,I,60-168245150,2654
SA-0378-80-96,27/1/2012 13:04,I,60-164071559,144
SA-0314-69-44,10/2/2011 2:14,I,60-169871293,2749
SA-0249-45-54,21/3/2012 15:23,I,60-169582653,939
SA-0185-59-07,19/5/2012 2:27,I,60-135273304,2377
SA-0114-12-73,26/1/2012 21:18,I,60-112647340,2381
SA-0263-79-37,5/7/2011 11:00,I,60-172096615,1202
SA-0220-61-46,30/7/2012 16:36,I,60-115037741,2650
SA-0182-19-79,29/1/2011 3:44,I,60-166770834,833
SA-0414-86-48,17/9/2012 2:40,I,60-148983626,1468
SA-0312-94-95,22/7/2012 11:31,I,60-124019120,3114
SA-0222-28-58,13/3/2011 4:00,I,60-140721400,484
SA-0249-45-54,30/10/2011 2:07,I,60-192439783,382
SA-0249-45-54,18/5/2011 23:44,I,60-190588005,925
SA-0361-84-31,25/7/2011 4:07,I,60-153507668,2659
SA-0261-41-34,18/4/2011 0:27,I,60-180721766,637
SA-0339-42-22,21/4/2012 17:34,I,60-155227039,3110
SA-0227-78-67,15/8/2012 17:29,I,60-184947335,1028
SA-0005-14-91,24/12/2011 3:49,I,60-161695361,3360
SA-0222-28-58,19/8/2012 13:08,I,60-141699688,2798
SA-0222-28-58,6/8/2012 13:49,I,60-170664623,1875
SA-0133-16-62,10/5/2011 16:39,I,60-163349816,998
SA-0055-36-68,26/11/2011 23:34,I,60-125778377,1365
SA-0227-78-67,5/7/2012 10:19,I,60-168337290,1408
SA-0222-28-58,5/4/2011 22:42,I,60-115872981,2285
SA-0185-10-64,5/2/2011 16:21,I,60-133499853,1212
SA-0138-33-52,5/4/2012 13:00,I,60-112517658,1558
SA-0202-82-34,3/10/2011 0:51,I,60-139982713,517
SA-0147-43-82,4/6/2011 21:45,I,60-194974158,613
SA-0343-60-69,28/12/2011 22:58,I,60-140543243,973
SA-0227-78-67,18/3/2012 12:34,I,60-166978701,209
SA-0261-41-34,12/9/2011 19:53,I,60-124382405,300
SA-0185-10-64,31/10/2012 9:37,I,60-114381587,2209
SA-0314-69-44,30/11/2012 11:48,I,60-123858587,319
SA-0186-07-48,27/12/2011 0:09,I,60-118539624,2841
SA-0155-74-77,27/12/2011 9:10,I,60-118897518,3050
SA-0080-84-93,15/8/2012 10:01,I,60-157583868,286
SA-0414-20-79,30/10/2011 4:33,I,60-133353808,1964
SA-0147-43-82,2/10/2011 21:32,I,60-100674213,1485
SA-0220-61-46,21/11/2011 8:18,I,60-130665922,938
SA-0335-96-08,16/12/2012 11:41,I,60-118385422,1589
SA-0151-98-79,27/9/2011 18:05,I,60-191954557,1157
SA-0222-28-58,18/1/2011 3:40,I,60-107471496,2623
SA-0222-28-58,12/8/2011 10:22,I,60-173583387,1724
SA-0037-94-05,28/6/2012 21:50,I,60-120617703,3568
SA-0378-80-96,14/10/2012 20:54,I,60-145551973,422
SA-0261-41-34,20/2/2012 15:51,I,60-151056410,1649
SA-0063-02-33,26/5/2012 22:34,I,60-162477121,2406
SA-0080-84-93,30/9/2011 10:45,I,60-106084808,2012
SA-0220-61-46,22/7/2012 12:47,I,60-141396067,2940
SA-0312-94-95,15/9/2011 18:18,I,60-175647161,362
SA-0021-95-06,16/1/2011 5:25,I,60-179503289,1360
SA-0050-81-89,19/7/2012 4:34,I,60-129017563,592
SA-0261-41-34,8/10/2012 20:57,I,60-116507132,168
SA-0037-94-05,8/2/2012 11:54,I,60-135063736,1015
SA-0290-06-89,4/11/2011 22:12,I,60-187652400,2077
SA-0314-69-44,16/2/2011 12:10,I,60-141765722,1909
SA-0112-53-34,31/1/2012 0:34,I,60-185731257,192
SA-0303-06-26,10/9/2012 21:58,I,60-180369832,2514
SA-0144-10-84,21/7/2011 10:20,I,60-176870625,484
SA-0187-35-19,10/12/2011 7:38,I,60-114180741,111
SA-0012-71-76,2/6/2012 6:20,I,60-191654716,1433
SA-0343-60-69,17/1/2012 16:09,I,60-157227197,247
SA-0252-71-33,5/12/2012 18:27,I,60-126660638,1584
SA-0155-74-77,7/11/2012 2:51,I,60-186459318,3315
SA-0414-20-79,30/11/2012 13:59,I,60-193676289,822
SA-0186-07-48,10/7/2012 18:42,I,60-143475839,2927
SA-0005-14-91,30/7/2012 18:31,I,60-153202849,1031
SA-0414-86-48,21/12/2011 12:20,I,60-171578280,1841
SA-0055-36-68,23/3/2012 1:58,I,60-163373218,3335
SA-0401-55-12,10/1/2011 9:00,I,60-193456342,1289
SA-0145-41-01,28/3/2012 16:00,I,60-191566816,3268
SA-0185-10-64,10/1/2011 20:04,I,60-150067800,2699
SA-0147-43-82,8/4/2011 19:03,I,60-187226698,3558
SA-0145-41-01,24/5/2012 18:52,I,60-152490435,979
SA-0112-53-34,16/9/2012 0:14,I,60-122466064,1435
SA-0210-42-47,12/7/2011 7:11,I,60-115674673,1434
SA-0314-69-44,2/10/2012 14:47,I,60-161391409,2912
SA-0227-78-67,12/1/2012 18:32,I,60-172595480,2051
SA-0107-05-98,14/10/2012 1:11,I,60-112323780,2563
SA-0335-96-08,7/6/2012 7:35,I,60-143759615,164
SA-0092-93-02,13/10/2012 14:45,I,60-168475419,1305
SA-0080-84-93,31/12/2011 4:52,I,60-112004990,705
SA-0220-61-46,24/9/2012 20:08,I,60-146584112,1467
SA-0009-04-02,24/1/2011 23:21,I,60-110873634,75
SA-0012-71-76,23/8/2011 7:14,I,60-120142274,533
SA-0414-86-48,19/8/2011 21:42,I,60-192502149,2857
SA-0112-53-34,21/1/2011 5:01,I,60-185461729,521
SA-0033-12-88,18/2/2012 11:44,I,60-144967752,2101
SA-0263-79-37,28/10/2011 13:03,I,60-194051783,2200
SA-0182-19-79,20/3/2011 3:53,I,60-169402879,2303
SA-0009-04-02,29/2/2012 17:30,I,60-155169989,2184
SA-0147-43-82,8/10/2012 19:52,I,60-157834187,2637
SA-0005-14-91,4/7/2011 11:35,I,60-190103735,1741
SA-0185-59-07,30/9/2011 19:28,I,60-168776698,689
SA-0186-07-48,18/10/2012 3:52,I,60-180046586,1214
SA-0112-53-34,2/12/2012 9:40,I,60-196863830,3137
SA-0155-74-77,25/11/2011 12:14,I,60-105148215,1461
SA-0290-06-89,8/10/2012 1:16,I,60-130877559,2973
SA-0210-42-47,7/9/2011 1:49,I,60-172197689,606
SA-0107-05-98,11/4/2012 19:04,I,60-171876658,931
SA-0055-36-68,26/3/2011 21:29,I,60-159620066,164
SA-0147-43-82,27/10/2012 6:50,I,60-195602821,2570
SA-0155-74-77,16/8/2011 22:16,I,60-180556862,169
SA-0147-43-82,10/10/2012 6:23,I,60-142389193,2392
SA-0182-19-79,18/6/2011 10:09,I,60-188592676,2263
SA-0220-48-64,6/4/2012 6:52,I,60-192400760,2062
SA-0378-80-96,30/3/2012 1:58,I,60-177060866,192
SA-0133-16-62,29/1/2012 15:26,I,60-142930700,1377
SA-0252-71-33,2/7/2011 0:05,I,60-119125682,352
SA-0009-04-02,12/8/2011 4:04,I,60-148039589,2260
SA-0220-61-46,17/6/2012 3:58,I,60-182278340,1147
SA-0210-42-47,1/1/2012 11:52,I,60-149283496,2139
SA-0220-61-46,30/3/2011 15:19,I,60-185212235,1555
SA-0012-71-76,4/1/2012 16:55,I,60-168902516,2349
SA-0009-04-02,19/6/2011 9:34,I,60-171891081,2649
SA-0252-71-33,3/1/2011 7:39,I,60-111804161,2990
SA-0145-41-01,17/11/2011 1:56,I,60-150076510,3353
SA-0335-96-08,6/12/2012 6:37,I,60-186088852,2224
SA-0202-82-34,14/9/2011 17:42,I,60-179647924,1770
SA-0361-84-31,22/7/2012 6:26,I,60-172744899,3315
SA-0227-78-67,8/2/2011 0:53,I,60-137176457,924
SA-0005-14-91,28/6/2011 19:42,I,60-117453396,3541
SA-0107-05-98,19/8/2012 6:15,I,60-118598391,3174
SA-0185-59-07,20/4/2012 18:41,I,60-114188251,932
SA-0155-74-77,12/4/2011 2:20,I,60-109103964,2291
SA-0187-35-19,13/5/2011 4:51,I,60-115011435,1206
SA-0144-10-84,21/10/2012 7:59,I,60-161628869,1457
SA-0145-41-01,3/1/2012 12:47,I,60-126641900,2320
SA-0151-98-79,26/4/2011 3:34,I,60-139746407,2398
SA-0335-96-08,10/4/2012 3:19,I,60-194626414,2498
SA-0339-42-22,17/4/2012 16:57,I,60-194852844,3185
SA-0290-06-89,17/6/2011 22:13,I,60-136184165,462
SA-0107-05-98,9/5/2011 8:51,I,60-180730910,3047
SA-0312-94-95,1/5/2011 23:44,I,60-189506796,3217
SA-0361-84-31,23/9/2012 7:42,I,60-168256715,848
SA-0252-71-33,27/6/2011 17:27,I,60-102055509,1656
SA-0009-04-02,18/9/2011 14:08,I,60-179700437,232
SA-0138-33-52,7/12/2011 10:05,I,60-142663620,3163
SA-0290-06-89,24/8/2012 23:35,I,60-173616004,659
SA-0401-55-12,30/11/2011 9:55,I,60-102670835,1798
SA-0187-35-19,17/9/2012 9:44,I,60-180281113,207
SA-0092-93-02,19/11/2011 15:50,I,60-135822552,1918
SA-0182-19-79,1/1/2011 22:00,I,60-133841123,1486
SA-0138-33-52,21/2/2011 13:21,I,60-143927823,224
SA-0220-48-64,21/9/2011 18:24,I,60-182695128,1361
SA-0414-86-48,23/1/2012 14:21,I,60-145042248,3405
SA-0210-42-47,24/1/2012 5:51,I,60-121482332,2879
SA-0378-80-96,9/11/2012 9:28,I,60-123603142,558
SA-0378-80-96,4/10/2012 3:32,I,60-177388194,373
SA-0185-59-07,20/7/2012 21:08,I,60-109783485,3568
